prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xED;0xDF;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE0;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE1;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE2;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE3;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE8;2;0;1;0;;NOP;78;1;;;;1
0xED;0xE9;2;0;1;0;;NOP;78;1;;;;1
0xED;0xEA;2;0;1;0;;NOP;78;1;;;;1
0xED;0xEB;2;0;1;0;;NOP;78;1;;;;1
0xED;0xEC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xED;2;0;1;0;;NOP;78;1;;;;1
0xED;0xEE;2;0;1;0;;NOP;78;1;;;;1
0xED;0xEF;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF0;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF1;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF2;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF3;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF4;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF5;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF6;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF7;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF8;2;0;1;0;;NOP;78;1;;;;1
0xED;0xF9;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFA;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFB;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFC;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFD;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFE;2;0;1;0;;NOP;78;1;;;;1
0xED;0xFF;2;0;1;0;;NOP;78;1;;;;1
