prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xDD;0xF1;;;;0;0;;;;;;;
0xDD;0xF2;;;;0;0;;;;;;;
0xDD;0xF3;;;;0;0;;;;;;;
0xDD;0xF4;;;;0;0;;;;;;;
0xDD;0xF5;;;;0;0;;;;;;;
0xDD;0xF6;;;;0;0;;;;;;;
0xDD;0xF7;;;;0;0;;;;;;;
0xDD;0xF8;;;;0;0;;;;;;;
0xDD;0xF9;2;0;0;0;;LD SP,IX;65;1;SP;IX;;
0xDD;0xFA;;;;0;0;;;;;;;
0xDD;0xFB;;;;0;0;;;;;;;
0xDD;0xFC;;;;0;0;;;;;;;
0xDD;0xFD;;;;0;0;;;;;;;
0xDD;0xFE;;;;0;0;;;;;;;
0xDD;0xFF;;;;0;0;;;;;;;
