prefix;opcode;opcode bytes;operand bytes;undocumented;fetch more opcode bytes;switch to table;mnemonic;instruction;param variant;param 1;param 2;param 3;duplicate
0xFD;0xD1;;;;0;0;;;;;;;
0xFD;0xD2;;;;0;0;;;;;;;
0xFD;0xD3;;;;0;0;;;;;;;
0xFD;0xD4;;;;0;0;;;;;;;
0xFD;0xD5;;;;0;0;;;;;;;
0xFD;0xD6;;;;0;0;;;;;;;
0xFD;0xD7;;;;0;0;;;;;;;
0xFD;0xD8;;;;0;0;;;;;;;
0xFD;0xD9;;;;0;0;;;;;;;
0xFD;0xDA;;;;0;0;;;;;;;
0xFD;0xDB;;;;0;0;;;;;;;
0xFD;0xDC;;;;0;0;;;;;;;
0xFD;0xFD;;;;0;0;;;;;;;
0xFD;0xDE;;;;0;0;;;;;;;
0xFD;0xDF;;;;0;0;;;;;;;
0xFD;0xE0;;;;0;0;;;;;;;
0xFD;0xE1;2;0;0;0;;POP IY;90;1;IY;;;
0xFD;0xE2;;;;0;0;;;;;;;
0xFD;0xE3;2;0;0;0;;EX (SP),IY;39;1;(SP);IY;;
0xFD;0xE4;;;;0;0;;;;;;;
0xFD;0xE5;2;0;0;0;;PUSH IY;91;1;IY;;;
0xFD;0xE6;;;;0;0;;;;;;;
0xFD;0xE7;;;;0;0;;;;;;;
0xFD;0xE8;;;;0;0;;;;;;;
0xFD;0xE9;2;0;0;0;;JP (IY);55;1;(IY);;;
0xFD;0xEA;;;;0;0;;;;;;;
0xFD;0xEB;;;;0;0;;;;;;;
0xFD;0xEC;;;;0;0;;;;;;;
0xFD;0xED;;;;0;0;;;;;;;
0xFD;0xEE;;;;0;0;;;;;;;
0xFD;0xEF;;;;0;0;;;;;;;
0xFD;0xF0;;;;0;0;;;;;;;
0xFD;0xF1;;;;0;0;;;;;;;
0xFD;0xF2;;;;0;0;;;;;;;
0xFD;0xF3;;;;0;0;;;;;;;
0xFD;0xF4;;;;0;0;;;;;;;
0xFD;0xF5;;;;0;0;;;;;;;
0xFD;0xF6;;;;0;0;;;;;;;
0xFD;0xF7;;;;0;0;;;;;;;
0xFD;0xF8;;;;0;0;;;;;;;
0xFD;0xF9;2;0;0;0;;LD SP,IY;65;1;SP;IY;;
0xFD;0xFA;;;;0;0;;;;;;;
0xFD;0xFB;;;;0;0;;;;;;;
0xFD;0xFC;;;;0;0;;;;;;;
0xFD;0xFD;;;;0;0;;;;;;;
0xFD;0xFE;;;;0;0;;;;;;;
0xFD;0xFF;;;;0;0;;;;;;;
